                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.1001,                0.96299,                  1.468,                0.62104,                    0.6,                0.58075,                0.19955,                 2.2604,                 1.8278,                 3.0478,              0.0010892,              0.0010892,              0.0010892
                     49,                  1.045,                 0.9163,                 1.4257,                0.66964,                   0.74,                0.70172,                0.27956,                 1.9937,                  1.493,                 2.6903,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1612,                0.98194,                 1.5296,                 0.5983,                   0.62,                0.65242,                0.27058,                 1.9654,                 1.7655,                 2.5982,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.1151,                 0.9944,                 1.4659,                0.56961,                   0.54,                0.52593,                0.25541,                 2.0164,                 1.7289,                 2.5789,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0329,                0.86597,                  1.401,                0.76603,                   0.54,                0.58927,                0.25432,                 2.2113,                 1.6994,                 2.9965,                0.00101,                0.00101,                0.00101
                     53,                 1.0458,                0.95111,                 1.4203,                0.56816,                   0.66,                0.61082,                0.27698,                 2.0586,                 1.6611,                 2.8031,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.1215,                0.97973,                 1.5362,                0.54815,                   0.56,                0.56477,                0.25409,                 2.0709,                 1.5901,                 2.7921,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0545,                 0.9104,                 1.4192,                 0.7177,                   0.54,                0.54911,                0.25019,                 1.9921,                 1.9089,                  2.759,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0367,                0.87818,                 1.3831,                 0.7097,                   0.62,                0.57812,                0.25949,                   1.92,                 1.5654,                 2.7505,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0234,                0.87079,                 1.4084,                0.76569,                   0.66,                0.69652,                0.33663,                 1.8223,                 1.4123,                 2.4074,               0.000911,               0.000911,               0.000911
                     58,                 1.0237,                0.86246,                 1.3902,                0.68712,                0.57112,                0.57222,                0.29741,                 2.0153,                 1.6112,                 2.6964,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0238,                0.85615,                 1.4139,                 0.5958,                   0.54,                0.49693,                0.21509,                 2.1313,                 1.7559,                 3.0749,              0.0008714,              0.0008714,              0.0008714
                     60,                0.97439,                0.85588,                  1.382,                0.59848,                   0.62,                0.62379,                0.26109,                 2.0243,                 1.8158,                 2.6009,              0.0008516,              0.0008516,              0.0008516
                     61,                0.97734,                0.78921,                 1.3512,                0.60212,                   0.68,                0.61235,                 0.2576,                 2.0958,                 1.7765,                  2.649,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0111,                0.86189,                  1.364,                0.63024,                   0.64,                0.63156,                0.24492,                 1.9211,                 1.6729,                  2.595,               0.000812,               0.000812,               0.000812
                     63,                0.96328,                0.90492,                 1.3797,                0.63055,                    0.7,                0.59525,                0.23346,                 2.1892,                 1.7433,                 2.9222,              0.0007922,              0.0007922,              0.0007922
                     64,                0.97569,                 0.8314,                 1.3467,                 0.6483,                   0.56,                0.52172,                0.21488,                 2.1379,                 2.0898,                 2.8982,              0.0007724,              0.0007724,              0.0007724
                     65,                0.98854,                0.83276,                 1.3644,                0.62555,                   0.68,                0.55812,                0.23651,                 2.2141,                 1.7543,                  3.075,              0.0007526,              0.0007526,              0.0007526
                     66,                0.99029,                0.82129,                 1.3778,                0.61842,                    0.7,                0.55388,                0.23713,                 2.2068,                 1.8394,                 2.9167,              0.0007328,              0.0007328,              0.0007328
                     67,                0.96137,                0.79667,                 1.3722,                 0.7383,                0.56432,                0.53925,                0.22326,                 2.2999,                 1.8189,                  3.166,               0.000713,               0.000713,               0.000713
                     68,                0.93884,                 0.7504,                 1.3501,                0.83798,                   0.64,                0.72449,                0.28077,                 2.2251,                 1.6655,                 2.8452,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.0243,                0.99498,                 1.3806,                0.65464,                   0.64,                 0.6223,                0.28826,                 2.0573,                 1.6989,                   2.82,              0.0006734,              0.0006734,              0.0006734
                     70,                0.86552,                0.74783,                 1.3144,                 0.6776,                   0.64,                0.62565,                0.26163,                 2.1525,                 1.6529,                 3.0464,              0.0006536,              0.0006536,              0.0006536
                     71,                0.90185,                0.73816,                 1.3109,                 0.8045,                   0.54,                 0.6635,                0.31354,                 1.9875,                 1.6164,                  2.726,              0.0006338,              0.0006338,              0.0006338
                     72,                0.85138,                0.68781,                 1.2692,                0.55613,                   0.64,                0.61665,                 0.2588,                 2.1218,                  1.809,                 2.8151,               0.000614,               0.000614,               0.000614
                     73,                0.89676,                0.80096,                 1.3197,                0.71465,                    0.6,                0.61737,                0.24652,                  2.145,                 1.7603,                 3.0162,              0.0005942,              0.0005942,              0.0005942
                     74,                0.92649,                0.91897,                 1.3799,                0.74201,                0.63284,                0.64574,                0.24864,                 2.0993,                 1.7567,                 2.9441,              0.0005744,              0.0005744,              0.0005744
                     75,                0.83456,                0.68656,                 1.2742,                0.64053,                   0.62,                0.60631,                0.28919,                 2.0165,                  1.479,                  2.754,              0.0005546,              0.0005546,              0.0005546
                     76,                 0.8557,                0.65887,                 1.2616,                0.70214,                   0.64,                0.67544,                0.29206,                 2.0409,                 1.5725,                 2.7268,              0.0005348,              0.0005348,              0.0005348
                     77,                0.80693,                0.66204,                 1.2552,                0.53038,                   0.62,                0.60636,                0.29278,                 2.0234,                 1.5846,                 2.7545,               0.000515,               0.000515,               0.000515
                     78,                0.80639,                0.64651,                 1.2376,                 0.6465,                   0.66,                0.64174,                0.29616,                 1.9855,                 1.8846,                 2.7643,              0.0004952,              0.0004952,              0.0004952
                     79,                0.78953,                0.64215,                 1.2456,                0.70137,                   0.56,                0.62954,                0.26889,                  2.083,                 1.8139,                  2.948,              0.0004754,              0.0004754,              0.0004754
                     80,                 0.8265,                0.68488,                 1.2463,                0.62192,                    0.6,                0.57403,                0.23506,                 2.2331,                 1.7821,                 3.1994,              0.0004556,              0.0004556,              0.0004556
                     81,                0.78245,                0.64799,                 1.2079,                0.71902,                   0.56,                0.60955,                 0.2382,                 2.1792,                 1.9233,                 3.0967,              0.0004358,              0.0004358,              0.0004358
                     82,                0.80662,                0.67619,                 1.2723,                0.78076,                0.56994,                0.66535,                0.27589,                 2.2628,                 1.6318,                 3.3187,               0.000416,               0.000416,               0.000416
                     83,                0.77858,                0.63238,                 1.2302,                0.57155,                   0.56,                0.58679,                0.26577,                 2.1904,                 1.5948,                 3.1032,              0.0003962,              0.0003962,              0.0003962
                     84,                0.76199,                0.62076,                 1.2134,                0.63265,                   0.54,                0.56013,                 0.2657,                 2.1449,                 1.5266,                 2.9675,              0.0003764,              0.0003764,              0.0003764
                     85,                0.74532,                0.61036,                  1.212,                0.67121,                   0.68,                0.61142,                0.27686,                 2.0313,                 1.5903,                 2.8789,              0.0003566,              0.0003566,              0.0003566
                     86,                0.75048,                0.60299,                 1.1766,                0.59117,                   0.72,                0.61378,                0.28106,                 1.9606,                 1.7031,                 2.8628,              0.0003368,              0.0003368,              0.0003368
                     87,                 0.7709,                0.62077,                 1.2124,                0.58514,                 0.7335,                0.62731,                0.29319,                 2.0696,                 1.7997,                 2.9871,               0.000317,               0.000317,               0.000317
                     88,                0.73146,                0.67908,                 1.1695,                0.55863,                0.70885,                0.59253,                0.27268,                 2.0003,                  1.864,                 2.8677,              0.0002972,              0.0002972,              0.0002972
                     89,                 0.7368,                0.60028,                 1.1875,                0.64685,                   0.58,                0.62541,                0.30734,                 1.9944,                 1.6496,                 2.8309,              0.0002774,              0.0002774,              0.0002774
                     90,                0.73097,                0.73461,                 1.1871,                0.73942,                   0.58,                0.64451,                0.31855,                 2.0428,                 1.4906,                 2.9124,              0.0002576,              0.0002576,              0.0002576
                     91,                0.72299,                0.58631,                 1.2735,                0.70447,                0.52452,                0.58308,                0.26658,                 2.2091,                 1.6164,                 3.2857,              0.0002378,              0.0002378,              0.0002378
                     92,                0.60456,                0.50656,                  1.158,                0.70678,                   0.54,                0.50057,                0.22714,                 2.1807,                 1.8139,                 3.3246,               0.000218,               0.000218,               0.000218
                     93,                  0.575,                0.46123,                 1.1381,                0.69924,                   0.64,                0.58637,                0.28001,                 1.9733,                 1.5891,                 2.9602,              0.0001982,              0.0001982,              0.0001982
                     94,                0.58542,                0.44582,                 1.1494,                0.68428,                0.65032,                0.60843,                0.28448,                 2.0136,                 1.6372,                  2.905,              0.0001784,              0.0001784,              0.0001784
                     95,                0.62356,                0.53195,                 1.1401,                0.73562,                0.61224,                0.59269,                0.28426,                 2.0231,                 1.5997,                 2.9157,              0.0001586,              0.0001586,              0.0001586
                     96,                0.54075,                0.42189,                 1.0636,                0.72631,                   0.64,                0.62945,                 0.2885,                 2.0111,                 1.6355,                 2.8963,              0.0001388,              0.0001388,              0.0001388
                     97,                0.56695,                 0.4158,                 1.1428,                0.72888,                   0.64,                0.63021,                 0.2943,                 2.0524,                 1.5242,                 2.9112,               0.000119,               0.000119,               0.000119
                     98,                0.55866,                 0.5777,                 1.1091,                0.72117,                   0.62,                0.63573,                0.29381,                 2.0495,                 1.6126,                 2.8995,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.55524,                0.44859,                 1.1161,                 0.7154,                   0.58,                0.57884,                0.28212,                 2.0929,                 1.6682,                 2.9887,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.56096,                0.42875,                 1.1657,                0.72465,                   0.62,                0.62726,                0.29423,                 2.0835,                 1.5539,                 2.9781,               5.96e-05,               5.96e-05,               5.96e-05
